annee;trimestre;dernier_jour_du_mois;duree_de_contrat;nature_de_contrat;dpae_brut;dpae_cvs
2011;1;2011-03-31;Contrat de plus d'un mois;CDD de plus d'un mois;272817;334077
2011;2;2011-04-30;Contrat de plus d'un mois;CDD de plus d'un mois;316239;351649
2011;2;2011-04-30;Contrat de plus d'un mois;CDI;275516;284299
2011;2;2011-05-31;Contrat de plus d'un mois;CDI;269391;290693
2011;2;2011-06-30;Contrat de plus d'un mois;CDD de plus d'un mois;388277;340265
2011;2;2011-06-30;Contrat de plus d'un mois;CDI;254727;284776
2011;3;2011-09-30;Contrat de plus d'un mois;CDD de plus d'un mois;580786;344419
2011;4;2011-11-30;Contrat de plus d'un mois;CDI;275471;282447
2011;4;2011-12-31;Contrat de plus d'un mois;CDI;214581;284463
2012;1;2012-01-31;Contrat de plus d'un mois;CDI;353402;271772
2012;1;2012-03-31;Contrat de plus d'un mois;CDD de plus d'un mois;266684;339919
2012;2;2012-04-30;Contrat de plus d'un mois;CDI;265085;266658
2012;2;2012-06-30;Contrat de plus d'un mois;CDD de plus d'un mois;367095;323592
2012;3;2012-08-31;Contrat de plus d'un mois;CDD de plus d'un mois;224111;325437
2012;3;2012-08-31;Contrat de plus d'un mois;CDI;192243;258284
2012;4;2012-11-30;Contrat de plus d'un mois;CDD de plus d'un mois;257429;305321
2012;4;2012-12-31;Contrat de plus d'un mois;CDI;189719;255327
2013;1;2013-01-31;Contrat de plus d'un mois;CDD de plus d'un mois;298907;322945
2013;1;2013-01-31;Contrat de plus d'un mois;CDI;316760;250362
2013;1;2013-02-28;Contrat de plus d'un mois;CDI;218638;251629
2013;2;2013-05-31;Contrat de plus d'un mois;CDI;209852;247539
2013;3;2013-09-30;Contrat de plus d'un mois;CDI;387787;252943
2013;4;2013-10-31;Contrat de plus d'un mois;CDD de plus d'un mois;327725;323423
2013;4;2013-12-31;Contrat de plus d'un mois;CDD de plus d'un mois;229115;323834
2013;4;2013-12-31;Contrat de plus d'un mois;CDI;190116;249290
2014;2;2014-04-30;Contrat de plus d'un mois;CDD de plus d'un mois;303834;324636
2014;2;2014-05-31;Contrat de plus d'un mois;CDI;207618;239279
2014;3;2014-08-31;Contrat de plus d'un mois;CDD de plus d'un mois;209356;299552
2014;3;2014-09-30;Contrat de plus d'un mois;CDD de plus d'un mois;619114;337543
2014;3;2014-09-30;Contrat de plus d'un mois;CDI;393461;250443
2014;4;2014-12-31;Contrat de plus d'un mois;CDD de plus d'un mois;233364;325491
2014;4;2014-12-31;Contrat de plus d'un mois;CDI;188782;244860
2015;1;2015-01-31;Contrat de plus d'un mois;CDD de plus d'un mois;309261;330810
2015;1;2015-01-31;Contrat de plus d'un mois;CDI;313683;250464
2015;1;2015-02-28;Contrat de plus d'un mois;CDD de plus d'un mois;198141;321300
2015;1;2015-03-31;Contrat de plus d'un mois;CDD de plus d'un mois;271395;325355
2015;2;2015-05-31;Contrat de plus d'un mois;CDD de plus d'un mois;273677;328557
2015;2;2015-05-31;Contrat de plus d'un mois;CDI;205219;243882
2015;2;2015-06-30;Contrat de plus d'un mois;CDD de plus d'un mois;395938;334157
2015;2;2015-06-30;Contrat de plus d'un mois;CDI;243039;254616
2015;3;2015-08-31;Contrat de plus d'un mois;CDI;201740;263798
2015;3;2015-09-30;Contrat de plus d'un mois;CDD de plus d'un mois;589496;324947
2015;4;2015-10-31;Contrat de plus d'un mois;CDD de plus d'un mois;318948;336432
2015;4;2015-11-30;Contrat de plus d'un mois;CDD de plus d'un mois;301664;346369
2015;4;2015-12-31;Contrat de plus d'un mois;CDI;196409;260773
2016;1;2016-01-31;Contrat de plus d'un mois;CDD de plus d'un mois;328772;351838
2016;1;2016-01-31;Contrat de plus d'un mois;CDI;336487;270163
2016;1;2016-03-31;Contrat de plus d'un mois;CDD de plus d'un mois;283798;356117
2016;2;2016-04-30;Contrat de plus d'un mois;CDI;265478;268081
2016;2;2016-05-31;Contrat de plus d'un mois;CDI;247580;277537
2016;2;2016-06-30;Contrat de plus d'un mois;CDD de plus d'un mois;388228;342985
2016;3;2016-09-30;Contrat de plus d'un mois;CDD de plus d'un mois;624990;352307
2017;1;2017-01-31;Contrat de plus d'un mois;CDI;370673;282920
2017;1;2017-03-31;Contrat de plus d'un mois;CDI;286468;296447
2017;2;2017-05-31;Contrat de plus d'un mois;CDI;270847;308748
2017;3;2017-08-31;Contrat de plus d'un mois;CDD de plus d'un mois;259929;357376
2017;3;2017-09-30;Contrat de plus d'un mois;CDD de plus d'un mois;635609;356329
2017;3;2017-09-30;Contrat de plus d'un mois;CDI;487068;322748
2017;4;2017-12-31;Contrat de plus d'un mois;CDD de plus d'un mois;241929;379837
2017;4;2017-12-31;Contrat de plus d'un mois;CDI;245378;348770
2018;2;2018-04-30;Contrat de plus d'un mois;CDI;328721;337190
2018;3;2018-07-31;Contrat de plus d'un mois;CDD de plus d'un mois;612048;359751
2018;3;2018-07-31;Contrat de plus d'un mois;CDI;319386;338398
2018;4;2018-11-30;Contrat de plus d'un mois;CDD de plus d'un mois;305002;355332
2018;4;2018-11-30;Contrat de plus d'un mois;CDI;340127;344006
2019;1;2019-01-31;Contrat de plus d'un mois;CDD de plus d'un mois;349514;368709
2019;1;2019-01-31;Contrat de plus d'un mois;CDI;440988;350321
2019;1;2019-02-28;Contrat de plus d'un mois;CDI;310752;351399
2019;1;2019-03-31;Contrat de plus d'un mois;CDD de plus d'un mois;283128;364313
2019;1;2019-03-31;Contrat de plus d'un mois;CDI;338643;354837
2019;2;2019-06-30;Contrat de plus d'un mois;CDI;312364;354516
2019;3;2019-07-31;Contrat de plus d'un mois;CDD de plus d'un mois;621676;370933
2019;3;2019-08-31;Contrat de plus d'un mois;CDD de plus d'un mois;257100;351848
2019;3;2019-09-30;Contrat de plus d'un mois;CDD de plus d'un mois;717200;371927
2019;4;2019-10-31;Contrat de plus d'un mois;CDI;423112;350865
2019;4;2019-11-30;Contrat de plus d'un mois;CDD de plus d'un mois;310206;375045
2019;4;2019-12-31;Contrat de plus d'un mois;CDD de plus d'un mois;247440;366787
2019;4;2019-12-31;Contrat de plus d'un mois;CDI;261856;352743
2020;1;2020-01-31;Contrat de plus d'un mois;CDD de plus d'un mois;353770;377021
2020;1;2020-01-31;Contrat de plus d'un mois;CDI;459736;370173
2020;2;2020-04-30;Contrat de plus d'un mois;CDI;102249;107123
2020;2;2020-05-31;Contrat de plus d'un mois;CDI;148676;173058
2020;3;2020-07-31;Contrat de plus d'un mois;CDI;282744;316646
2020;3;2020-08-31;Contrat de plus d'un mois;CDD de plus d'un mois;288825;374465
2020;3;2020-09-30;Contrat de plus d'un mois;CDI;483532;305303
2020;4;2020-12-31;Contrat de plus d'un mois;CDI;204470;277405
2021;1;2021-01-31;Contrat de plus d'un mois;CDD de plus d'un mois;320379;346322
2021;1;2021-01-31;Contrat de plus d'un mois;CDI;371574;305487
2021;1;2021-02-28;Contrat de plus d'un mois;CDD de plus d'un mois;207262;337844
2021;2;2021-04-30;Contrat de plus d'un mois;CDD de plus d'un mois;246331;290724
2021;2;2021-06-30;Contrat de plus d'un mois;CDI;381830;407255
2021;3;2021-07-31;Contrat de plus d'un mois;CDD de plus d'un mois;607580;403858
2021;3;2021-08-31;Contrat de plus d'un mois;CDD de plus d'un mois;320275;402366
2021;4;2021-11-30;Contrat de plus d'un mois;CDD de plus d'un mois;352439;404956
2022;1;2022-01-31;Contrat de plus d'un mois;CDD de plus d'un mois;379678;403269
2022;1;2022-01-31;Contrat de plus d'un mois;CDI;504510;404338
2022;1;2022-02-28;Contrat de plus d'un mois;CDD de plus d'un mois;249239;406068
2022;1;2022-03-31;Contrat de plus d'un mois;CDI;413874;416764
2022;3;2022-07-31;Contrat de plus d'un mois;CDD de plus d'un mois;592276;394310
2022;3;2022-08-31;Contrat de plus d'un mois;CDD de plus d'un mois;336114;427553
2022;4;2022-10-31;Contrat de plus d'un mois;CDD de plus d'un mois;383131;394023
2022;4;2022-10-31;Contrat de plus d'un mois;CDI;519074;432631
2023;1;2023-03-31;Contrat de plus d'un mois;CDD de plus d'un mois;299538;394393
2023;3;2023-07-31;Contrat de plus d'un mois;CDD de plus d'un mois;600778;396184
2023;3;2023-08-31;Contrat de plus d'un mois;CDD de plus d'un mois;302155;394790
2023;3;2023-09-30;Contrat de plus d'un mois;CDD de plus d'un mois;830897;406618
2000;2;2000-04-30;Contrat de plus d'un mois;CDD de plus d'un mois;276383;323021
2000;2;2000-05-31;Contrat de plus d'un mois;CDD de plus d'un mois;296981;338943
2000;2;2000-05-31;Contrat de plus d'un mois;CDI;256107;283976
2000;3;2000-07-31;Contrat de plus d'un mois;CDD de plus d'un mois;627548;318588
2000;3;2000-08-31;Contrat de plus d'un mois;CDD de plus d'un mois;203398;325724
2000;4;2000-11-30;Contrat de plus d'un mois;CDI;298140;296379
2000;4;2000-12-31;Contrat de plus d'un mois;CDD de plus d'un mois;203628;314392
2001;2;2001-05-31;Contrat de plus d'un mois;CDI;262391;295369
2001;2;2001-06-30;Contrat de plus d'un mois;CDD de plus d'un mois;400374;310511
2001;2;2001-06-30;Contrat de plus d'un mois;CDI;259014;293221
2001;3;2001-07-31;Contrat de plus d'un mois;CDD de plus d'un mois;637000;308716
2001;3;2001-08-31;Contrat de plus d'un mois;CDI;191620;284725
2001;3;2001-09-30;Contrat de plus d'un mois;CDD de plus d'un mois;409328;292935
2001;4;2001-10-31;Contrat de plus d'un mois;CDI;358855;274779
2001;4;2001-11-30;Contrat de plus d'un mois;CDD de plus d'un mois;251974;300540
2002;1;2002-01-31;Contrat de plus d'un mois;CDI;333675;271736
2002;1;2002-03-31;Contrat de plus d'un mois;CDI;279659;278883
2002;2;2002-05-31;Contrat de plus d'un mois;CDD de plus d'un mois;248556;298901
2002;4;2002-10-31;Contrat de plus d'un mois;CDI;332772;260625
2002;4;2002-11-30;Contrat de plus d'un mois;CDI;253591;261924
2002;4;2002-12-31;Contrat de plus d'un mois;CDI;201758;246384
2003;1;2003-03-31;Contrat de plus d'un mois;CDD de plus d'un mois;231885;283171
2003;2;2003-04-30;Contrat de plus d'un mois;CDD de plus d'un mois;255841;283989
2003;2;2003-06-30;Contrat de plus d'un mois;CDI;225885;249579
2003;3;2003-07-31;Contrat de plus d'un mois;CDD de plus d'un mois;546731;284157
2003;3;2003-07-31;Contrat de plus d'un mois;CDI;214172;248993
2003;3;2003-08-31;Contrat de plus d'un mois;CDD de plus d'un mois;171353;273030
2003;4;2003-10-31;Contrat de plus d'un mois;CDD de plus d'un mois;302667;294156
2003;4;2003-10-31;Contrat de plus d'un mois;CDI;305669;243776
2003;4;2003-11-30;Contrat de plus d'un mois;CDD de plus d'un mois;238811;291678
2003;4;2003-11-30;Contrat de plus d'un mois;CDI;238405;244215
2004;1;2004-01-31;Contrat de plus d'un mois;CDD de plus d'un mois;259019;304724
2004;1;2004-02-29;Contrat de plus d'un mois;CDD de plus d'un mois;191454;293541
2004;2;2004-06-30;Contrat de plus d'un mois;CDI;227553;242710
2004;3;2004-08-31;Contrat de plus d'un mois;CDD de plus d'un mois;209817;309148
2004;3;2004-09-30;Contrat de plus d'un mois;CDI;341314;242360
2004;4;2004-10-31;Contrat de plus d'un mois;CDI;298384;243964
2004;4;2004-11-30;Contrat de plus d'un mois;CDD de plus d'un mois;260751;304365
2004;4;2004-11-30;Contrat de plus d'un mois;CDI;247145;244588
2004;4;2004-12-31;Contrat de plus d'un mois;CDD de plus d'un mois;214301;307283
2004;4;2004-12-31;Contrat de plus d'un mois;CDI;190070;236087
2005;1;2005-01-31;Contrat de plus d'un mois;CDD de plus d'un mois;270117;305044
2005;1;2005-02-28;Contrat de plus d'un mois;CDD de plus d'un mois;189860;305772
2005;1;2005-03-31;Contrat de plus d'un mois;CDI;244018;247385
2005;2;2005-06-30;Contrat de plus d'un mois;CDI;224889;242665
2005;3;2005-07-31;Contrat de plus d'un mois;CDI;198463;232762
2005;3;2005-08-31;Contrat de plus d'un mois;CDD de plus d'un mois;217891;323517
2006;1;2006-01-31;Contrat de plus d'un mois;CDI;341935;265556
2006;1;2006-02-28;Contrat de plus d'un mois;CDD de plus d'un mois;177877;287898
2006;2;2006-05-31;Contrat de plus d'un mois;CDI;255692;287550
2006;3;2006-08-31;Contrat de plus d'un mois;CDI;188141;267827
2006;3;2006-09-30;Contrat de plus d'un mois;CDD de plus d'un mois;479806;317588
2007;1;2007-01-31;Contrat de plus d'un mois;CDD de plus d'un mois;279544;309172
2007;1;2007-01-31;Contrat de plus d'un mois;CDI;353073;277909
2007;1;2007-03-31;Contrat de plus d'un mois;CDI;273997;282265
2007;2;2007-04-30;Contrat de plus d'un mois;CDD de plus d'un mois;280511;315231
2007;3;2007-09-30;Contrat de plus d'un mois;CDD de plus d'un mois;508441;329603
2007;3;2007-09-30;Contrat de plus d'un mois;CDI;413358;292371
2007;4;2007-12-31;Contrat de plus d'un mois;CDI;221709;287537
2008;1;2008-01-31;Contrat de plus d'un mois;CDI;361980;288500
2008;1;2008-02-29;Contrat de plus d'un mois;CDI;262031;291001
2008;1;2008-03-31;Contrat de plus d'un mois;CDI;278363;292084
2008;2;2008-04-30;Contrat de plus d'un mois;CDD de plus d'un mois;277350;299319
2008;2;2008-05-31;Contrat de plus d'un mois;CDD de plus d'un mois;262122;318851
2008;2;2008-05-31;Contrat de plus d'un mois;CDI;232636;272332
2008;2;2008-06-30;Contrat de plus d'un mois;CDD de plus d'un mois;415687;327020
2008;2;2008-06-30;Contrat de plus d'un mois;CDI;275979;293807
2008;3;2008-08-31;Contrat de plus d'un mois;CDD de plus d'un mois;195550;296618
2009;1;2009-01-31;Contrat de plus d'un mois;CDD de plus d'un mois;263093;300085
2009;1;2009-02-28;Contrat de plus d'un mois;CDD de plus d'un mois;179170;293234
2009;1;2009-03-31;Contrat de plus d'un mois;CDI;225063;225411
2009;3;2009-08-31;Contrat de plus d'un mois;CDD de plus d'un mois;212577;307373
2009;3;2009-08-31;Contrat de plus d'un mois;CDI;170292;231260
2010;1;2010-02-28;Contrat de plus d'un mois;CDI;214086;243267
2010;1;2010-03-31;Contrat de plus d'un mois;CDI;253306;252092
2010;2;2010-06-30;Contrat de plus d'un mois;CDI;245447;260715
2010;3;2010-07-31;Contrat de plus d'un mois;CDD de plus d'un mois;548445;321075
2010;3;2010-09-30;Contrat de plus d'un mois;CDD de plus d'un mois;546703;327832
2010;4;2010-10-31;Contrat de plus d'un mois;CDD de plus d'un mois;334386;329598
2010;4;2010-10-31;Contrat de plus d'un mois;CDI;310652;260029
2010;4;2010-11-30;Contrat de plus d'un mois;CDI;260730;264679
2010;4;2010-12-31;Contrat de plus d'un mois;CDD de plus d'un mois;221165;316435
2011;1;2011-01-31;Contrat de plus d'un mois;CDD de plus d'un mois;310726;337750
2011;1;2011-03-31;Contrat de plus d'un mois;CDI;269315;274764
2011;2;2011-05-31;Contrat de plus d'un mois;CDD de plus d'un mois;315459;346985
2011;3;2011-07-31;Contrat de plus d'un mois;CDI;254172;282512
2011;3;2011-08-31;Contrat de plus d'un mois;CDD de plus d'un mois;264107;373880
2011;4;2011-10-31;Contrat de plus d'un mois;CDD de plus d'un mois;347812;338608
2011;4;2011-11-30;Contrat de plus d'un mois;CDD de plus d'un mois;280637;332883
2012;1;2012-01-31;Contrat de plus d'un mois;CDD de plus d'un mois;314388;330498
2012;2;2012-04-30;Contrat de plus d'un mois;CDD de plus d'un mois;309616;330821
2012;2;2012-05-31;Contrat de plus d'un mois;CDD de plus d'un mois;270533;326660
2012;3;2012-07-31;Contrat de plus d'un mois;CDD de plus d'un mois;591120;325320
2012;3;2012-09-30;Contrat de plus d'un mois;CDD de plus d'un mois;548724;324132
2012;3;2012-09-30;Contrat de plus d'un mois;CDI;381272;257493
2012;4;2012-11-30;Contrat de plus d'un mois;CDI;243509;250489
2012;4;2012-12-31;Contrat de plus d'un mois;CDD de plus d'un mois;222514;327984
2013;1;2013-03-31;Contrat de plus d'un mois;CDD de plus d'un mois;254106;323398
2013;1;2013-03-31;Contrat de plus d'un mois;CDI;230126;245594
2013;2;2013-05-31;Contrat de plus d'un mois;CDD de plus d'un mois;268010;322691
2013;2;2013-06-30;Contrat de plus d'un mois;CDD de plus d'un mois;344571;307748
2013;3;2013-07-31;Contrat de plus d'un mois;CDD de plus d'un mois;591465;329061
2013;3;2013-08-31;Contrat de plus d'un mois;CDD de plus d'un mois;220893;320019
2013;3;2013-09-30;Contrat de plus d'un mois;CDD de plus d'un mois;585479;328760
2014;1;2014-01-31;Contrat de plus d'un mois;CDI;316295;250625
2014;1;2014-02-28;Contrat de plus d'un mois;CDI;217284;249604
2014;1;2014-03-31;Contrat de plus d'un mois;CDD de plus d'un mois;260199;322738
2014;2;2014-04-30;Contrat de plus d'un mois;CDI;248255;248376
2014;2;2014-05-31;Contrat de plus d'un mois;CDD de plus d'un mois;266290;310773
2014;2;2014-06-30;Contrat de plus d'un mois;CDD de plus d'un mois;389105;345195
2014;2;2014-06-30;Contrat de plus d'un mois;CDI;231663;255512
2014;3;2014-07-31;Contrat de plus d'un mois;CDI;228130;246767
2014;3;2014-08-31;Contrat de plus d'un mois;CDI;178976;242296
2014;4;2014-10-31;Contrat de plus d'un mois;CDD de plus d'un mois;316173;322508
2015;3;2015-07-31;Contrat de plus d'un mois;CDI;235760;258697
2015;4;2015-10-31;Contrat de plus d'un mois;CDI;303855;259835
2016;1;2016-02-29;Contrat de plus d'un mois;CDD de plus d'un mois;233197;351911
2016;2;2016-05-31;Contrat de plus d'un mois;CDD de plus d'un mois;313183;349179
2016;3;2016-07-31;Contrat de plus d'un mois;CDD de plus d'un mois;561607;345206
2016;3;2016-07-31;Contrat de plus d'un mois;CDI;248559;276325
2016;3;2016-08-31;Contrat de plus d'un mois;CDD de plus d'un mois;276564;371332
2016;3;2016-08-31;Contrat de plus d'un mois;CDI;219298;284946
2016;3;2016-09-30;Contrat de plus d'un mois;CDI;419547;276498
2016;4;2016-11-30;Contrat de plus d'un mois;CDI;276171;282157
2017;1;2017-03-31;Contrat de plus d'un mois;CDD de plus d'un mois;288683;359128
2017;2;2017-04-30;Contrat de plus d'un mois;CDD de plus d'un mois;332276;371248
2017;2;2017-04-30;Contrat de plus d'un mois;CDI;286547;301326
2017;2;2017-06-30;Contrat de plus d'un mois;CDD de plus d'un mois;404169;369580
2017;3;2017-07-31;Contrat de plus d'un mois;CDD de plus d'un mois;601102;366246
2017;3;2017-07-31;Contrat de plus d'un mois;CDI;278295;303149
2017;3;2017-08-31;Contrat de plus d'un mois;CDI;235662;310116
2017;4;2017-10-31;Contrat de plus d'un mois;CDD de plus d'un mois;356382;358452
2017;4;2017-11-30;Contrat de plus d'un mois;CDD de plus d'un mois;305962;355945
2017;4;2017-11-30;Contrat de plus d'un mois;CDI;324452;329302
2018;1;2018-01-31;Contrat de plus d'un mois;CDD de plus d'un mois;345214;355827
2018;1;2018-02-28;Contrat de plus d'un mois;CDD de plus d'un mois;223326;359448
2018;1;2018-02-28;Contrat de plus d'un mois;CDI;297449;336587
2018;1;2018-03-31;Contrat de plus d'un mois;CDI;320768;335027
2018;2;2018-05-31;Contrat de plus d'un mois;CDD de plus d'un mois;314594;370281
2018;2;2018-06-30;Contrat de plus d'un mois;CDD de plus d'un mois;397870;357904
2018;3;2018-08-31;Contrat de plus d'un mois;CDI;257340;341140
2018;4;2018-10-31;Contrat de plus d'un mois;CDD de plus d'un mois;367111;366404
2018;4;2018-12-31;Contrat de plus d'un mois;CDD de plus d'un mois;241092;369314
2018;4;2018-12-31;Contrat de plus d'un mois;CDI;252255;349685
2019;1;2019-02-28;Contrat de plus d'un mois;CDD de plus d'un mois;227330;368074
2019;2;2019-05-31;Contrat de plus d'un mois;CDD de plus d'un mois;312653;356666
2019;2;2019-05-31;Contrat de plus d'un mois;CDI;298498;344460
2019;2;2019-06-30;Contrat de plus d'un mois;CDD de plus d'un mois;394471;364559
2019;3;2019-07-31;Contrat de plus d'un mois;CDI;338037;355573
2019;3;2019-09-30;Contrat de plus d'un mois;CDI;566708;362363
2020;1;2020-02-29;Contrat de plus d'un mois;CDI;333645;378562
2020;1;2020-03-31;Contrat de plus d'un mois;CDD de plus d'un mois;224367;276577
2020;1;2020-03-31;Contrat de plus d'un mois;CDI;282450;281582
2020;2;2020-06-30;Contrat de plus d'un mois;CDD de plus d'un mois;412320;356040
2020;3;2020-07-31;Contrat de plus d'un mois;CDD de plus d'un mois;557868;362025
2020;4;2020-10-31;Contrat de plus d'un mois;CDI;363392;309622
2020;4;2020-11-30;Contrat de plus d'un mois;CDD de plus d'un mois;264242;300260
2020;4;2020-11-30;Contrat de plus d'un mois;CDI;261008;258528
2021;1;2021-02-28;Contrat de plus d'un mois;CDI;255635;290076
2021;2;2021-06-30;Contrat de plus d'un mois;CDD de plus d'un mois;498222;424327
2021;3;2021-07-31;Contrat de plus d'un mois;CDI;346003;392164
2021;3;2021-09-30;Contrat de plus d'un mois;CDI;616500;392121
2021;4;2021-10-31;Contrat de plus d'un mois;CDI;475815;407368
2022;1;2022-02-28;Contrat de plus d'un mois;CDI;364058;414197
2022;1;2022-03-31;Contrat de plus d'un mois;CDD de plus d'un mois;304159;392316
2022;2;2022-04-30;Contrat de plus d'un mois;CDD de plus d'un mois;346301;405040
2022;2;2022-04-30;Contrat de plus d'un mois;CDI;397850;426970
2022;2;2022-05-31;Contrat de plus d'un mois;CDI;395215;430715
2022;3;2022-08-31;Contrat de plus d'un mois;CDI;347434;442456
2022;3;2022-09-30;Contrat de plus d'un mois;CDD de plus d'un mois;832904;411342
2022;3;2022-09-30;Contrat de plus d'un mois;CDI;686209;437083
2022;4;2022-11-30;Contrat de plus d'un mois;CDI;425891;424341
2022;4;2022-12-31;Contrat de plus d'un mois;CDI;304252;425626
2023;1;2023-01-31;Contrat de plus d'un mois;CDD de plus d'un mois;364834;385103
2023;1;2023-01-31;Contrat de plus d'un mois;CDI;531933;418679
2023;2;2023-05-31;Contrat de plus d'un mois;CDD de plus d'un mois;349329;400858
2023;2;2023-05-31;Contrat de plus d'un mois;CDI;371777;433916
2023;3;2023-07-31;Contrat de plus d'un mois;CDI;368550;414687
2023;3;2023-09-30;Contrat de plus d'un mois;CDI;667642;427383
